條碼,品號,品名,類別,通路,份數,包數,份數價格,包數價格,商品結帳價
4.71E+12,D50500012,2-9金黃鮮燴絲瓜,冷凍粥飯,蝦皮,1,2,140,65,70
4.71E+12,D50500013,2-10百菇鮮豚,冷凍粥飯,蝦皮,1,2,140,65,70
4.71E+12,D50500014,2-11香甜玉米雞肉,冷凍粥飯,蝦皮,1,2,140,65,70
4.71E+12,D50600001,2-S1和風豚肉燉飯,冷凍粥飯,蝦皮,1,2,190,90,95
4.71E+12,D50600002,2-S2綠意什錦豬肉燉飯,冷凍粥飯,蝦皮,1,2,190,90,95
4.71E+12,D50600003,2-S3白醬魚片燉飯,冷凍粥飯,蝦皮,1,2,190,90,95
4.71E+12,D50600004,2-S4秋葵茄雞燉飯,冷凍粥飯,蝦皮,1,2,190,90,95
4.71E+12,D50600005,2-S5香菇雞湯燉飯,冷凍粥飯,蝦皮,1,2,190,90,95
4.71E+12,D50600006,2-S6羅宋牛肉燉飯,冷凍粥飯,蝦皮,1,2,190,90,95
4.71E+12,D50600007,2-S7鮭魚鮮燴燉飯,冷凍粥飯,蝦皮,1,2,190,90,95
4.71E+12,D50600008,2-S8豆豆美人燉飯,冷凍粥飯,蝦皮,1,2,190,90,95
4.71E+12,D50600009,2-S9蒜香蝦蝦燉飯,冷凍粥飯,蝦皮,1,2,190,90,95
4.71E+12,D50600010,2-S10五彩鮮魚燉飯,冷凍粥飯,蝦皮,1,2,190,90,95
4.71E+12,D50600011,S11田園雞肉燉飯,冷凍粥飯,蝦皮,1,2,190,90,95
4.71E+12,D50600012,2-M3青醬海陸義麵,冷凍粥飯,蝦皮,1,2,190,90,95
4.71E+12,D50700001,3-3蔬菜高湯,冷凍粥飯,蝦皮,1,2,190,90,95
4.71E+12,E51010001,2-D01後元彩虹水餃,冷凍粥飯,蝦皮,1,1,149,119,149
4.71E+12,E51010002,2-D02寶寶後元饅頭,冷凍粥飯,蝦皮,1,1,159,129,159
4.71E+12,E51010003,2-D03寶寶後元蘿蔔糕,冷凍粥飯,蝦皮,1,1,169,149,169
,E52010004,咕手指餅乾-玉米米餅,冷凍粥飯,蝦皮,1,2,179,89.5,89.5
4.71E+12,E52010007,寶寶豬肉鬆,冷凍粥飯,蝦皮,1,1,129,99,129
,F59900001,運費,,蝦皮,1,1,165,165,165
,F59900002,折扣,,蝦皮,1,1,0,0,0
4.71E+12,D50100001,0-1純米泥,冷凍粥飯,麗采,1,4,112,28,28
4.71E+12,D50100002,0-2南瓜米泥,冷凍粥飯,麗采,1,4,112,28,28
4.71E+12,D50100003,0-3地瓜米泥,冷凍粥飯,麗采,1,4,112,28,28
4.71E+12,D50100004,0-4馬鈴薯米泥,冷凍粥飯,麗采,1,4,112,28,28
4.71E+12,D50100005,0-5紅蘿蔔米泥,冷凍粥飯,麗采,1,4,112,28,28
4.71E+12,D50100006,0-6甜菜根米泥,冷凍粥飯,麗采,1,4,112,28,28
4.71E+12,D50100007,0-7山藥米泥,冷凍粥飯,麗采,1,4,112,28,28
4.71E+12,D50100008,0-8青江菜米泥,冷凍粥飯,麗采,1,4,112,28,28
4.71E+12,D50100009,0-9小松葉米泥,冷凍粥飯,麗采,1,4,112,28,28
4.71E+12,D50100010,0-10青花椰菜米泥,冷凍粥飯,麗采,1,4,112,28,28
4.71E+12,D50100011,0-11高麗菜米泥,冷凍粥飯,麗采,1,4,112,28,28
4.71E+12,D50100012,0-12黑木耳米泥,冷凍粥飯,麗采,1,4,112,28,28
4.71E+12,D50100013,0-13洋蔥米泥,冷凍粥飯,麗采,1,4,112,28,28
4.71E+12,D50100015,0-15蘋果米泥,冷凍粥飯,麗采,1,4,112,28,28
4.71E+12,D50100016,0-16水梨米泥,冷凍粥飯,麗采,1,4,112,28,28
4.71E+12,D50100017,0-17雞肉米泥,冷凍粥飯,麗采,1,4,112,28,28
4.71E+12,D50100018,0-18豬肉米泥,冷凍粥飯,麗采,1,4,112,28,28
4.71E+12,D50100019,0-19鯛魚米泥,冷凍粥飯,麗采,1,4,112,28,28
4.71E+12,D50100020,0-20牛肉米泥,冷凍粥飯,麗采,1,4,112,28,28
4.71E+12,D50100021,0-21絲瓜米泥,冷凍粥飯,麗采,1,4,112,28,28
4.71E+12,D50200001,1-01玉米菇菇雞蓉粥,冷凍粥飯,麗采,1,2,98,49,49
4.71E+12,D50200002,1-02雙瓜豬肉粥,冷凍粥飯,麗采,1,2,98,49,49
4.71E+12,D50200003,1-03紅蔔甜椒雞蓉粥,冷凍粥飯,麗采,1,2,98,49,49
4.71E+12,D50200004,1-04青翠白花豬豬粥,冷凍粥飯,麗采,1,2,98,49,49
4.71E+12,D50200005,1-05番茄野菇雞蓉粥,冷凍粥飯,麗采,1,2,98,49,49
4.71E+12,D50200006,1-06秋葵白菜牛肉粥,冷凍粥飯,麗采,1,2,98,49,49
4.71E+12,D50200007,1-07紫心豬豬粥,冷凍粥飯,麗采,1,2,98,49,49
4.71E+12,D50200008,1-08木耳海藻魚片粥,冷凍粥飯,麗采,1,2,98,49,49
4.71E+12,D50200009,1-09清甜美人粥,冷凍粥飯,麗采,1,2,98,49,49
4.71E+12,D50200010,1-10枸杞紅棗山藥粥,冷凍粥飯,麗采,1,2,98,49,49
4.71E+12,D50200011,1-11蔬菜鮭魚粥,冷凍粥飯,麗采,1,2,98,49,49
4.71E+12,D50300001,1P-01金黃根莖雞蓉大寶寶粥150g,冷凍粥飯,麗采,1,2,120,60,60
4.71E+12,D50300002,1P-02高麗野蔬雞蓉大寶寶粥150g,冷凍粥飯,麗采,1,2,120,60,60
4.71E+12,D50300003,1P-03豚未香菇豆腐大寶寶粥150g,冷凍粥飯,麗采,1,2,120,60,60
4.71E+12,D50300004,1P-04蔬菜鮭魚大寶寶粥150g,冷凍粥飯,麗采,1,2,120,60,60
4.71E+12,D50300005,1P-05元氣牛肉大寶寶粥150g,冷凍粥飯,麗采,1,2,120,60,60
4.71E+12,D50300006,1P-06絲瓜鱸魚大寶寶粥150g,冷凍粥飯,麗采,1,2,120,60,60
4.71E+12,D50300007,1P-07百蔬蛋黃大寶寶粥150g,冷凍粥飯,麗采,1,2,120,60,60
4.71E+12,D50300008,1P-08鮮魚野蕈大寶寶粥150g,冷凍粥飯,麗采,1,2,120,60,60
4.71E+12,D50300009,1P-09粉紅豬豬大寶寶粥150g,冷凍粥飯,麗采,1,2,120,60,60
4.71E+12,D50300010,1P-10四季春雞大寶寶粥150g,冷凍粥飯,麗采,1,2,120,60,60
4.71E+12,D50300011,1P-11紫金雞蓉大寶寶粥150g,冷凍粥飯,麗采,1,2,120,60,60
4.71E+12,D50300012,1P-12青花菇蕈大寶寶粥150g,冷凍粥飯,麗采,1,2,120,60,60
4.71E+12,D50300013,1P-13芹香牛奶魚大寶寶粥150g,冷凍粥飯,麗采,1,2,120,60,60
4.71E+12,D50300014,1P-14五彩雙嬌牛肉大寶寶粥150g,冷凍粥飯,麗采,1,2,120,60,60
4.71E+12,D50300015,1P-15紫玉豆豆雞蓉大寶寶粥150g,冷凍粥飯,麗采,1,2,120,60,60
4.71E+12,D50300016,1P-16豚末針菇大寶寶粥150g,冷凍粥飯,麗采,1,2,120,60,60
4.71E+12,D50300017,1P-17甘栗瓜瓜魚肉大寶寶粥150g,冷凍粥飯,麗采,1,2,120,60,60
4.71E+12,D50300018,1P-18蕃茄時蔬嫰雞大寶寶粥150g,冷凍粥飯,麗采,1,2,120,60,60
4.71E+12,D50400001,1P-01金黃根莖雞蓉大寶寶粥200g,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50400002,1P-02高麗野蔬雞蓉大寶寶粥200g,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50400003,1P-03豚未香菇豆腐大寶寶粥200g,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50400004,1P-04蔬菜鮭魚大寶寶粥200g,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50400005,1P-05元氣牛肉大寶寶粥200g,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50400006,1P-06絲瓜鱸魚大寶寶粥200g,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50400007,1P-07百蔬蛋黃大寶寶粥200g,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50400008,1P-08鮮魚野蕈大寶寶粥200g,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50400009,1P-09粉紅豬豬大寶寶粥200g,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50400010,1P-10四季春雞大寶寶粥200g,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50400011,1P-11紫金雞蓉大寶寶粥200g,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50400012,1P-12青花菇蕈大寶寶粥200g,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50400013,1P-13芹香牛奶魚大寶寶粥200g,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50400014,1P-14五彩雙嬌牛肉大寶寶粥200g,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50400015,1P-15紫玉豆豆雞蓉大寶寶粥200g,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50400016,1P-16豚末針菇大寶寶粥200g,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50400017,1P-17甘栗瓜瓜魚肉大寶寶粥200g,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50400018,1P-18蕃茄時蔬嫰雞大寶寶粥200g,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50500001,2-M寶貝義大利麵,冷凍粥飯,麗采,1,2,60,30,30
4.71E+12,D50500003,2-F寶貝米飯,冷凍粥飯,麗采,1,2,60,30,30
4.71E+12,D50500004,2-1醬燒什錦豬肉,冷凍粥飯,麗采,1,2,105,52.5,52.5
4.71E+12,D50500005,2-2鮮奶起司鮭魚,冷凍粥飯,麗采,1,2,105,52.5,52.5
4.71E+12,D50500006,2-3馬鈴薯燉牛肉,冷凍粥飯,麗采,1,2,105,52.5,52.5
4.71E+12,D50500007,2-4塔香虱目魚,冷凍粥飯,麗采,1,2,105,52.5,52.5
4.71E+12,D50500008,2-5咖哩雞肉,冷凍粥飯,麗采,1,2,105,52.5,52.5
4.71E+12,D50500009,2-6奶香南瓜雞肉,冷凍粥飯,麗采,1,2,105,52.5,52.5
4.71E+12,D50500010,2-7香菇豆腐雞肉煲,冷凍粥飯,麗采,1,2,105,52.5,52.5
4.71E+12,D50500011,2-8洋蔥魚片,冷凍粥飯,麗采,1,2,105,52.5,52.5
4.71E+12,D50500012,2-9金黃鮮燴絲瓜,冷凍粥飯,麗采,1,2,105,52.5,52.5
4.71E+12,D50500013,2-10百菇鮮豚,冷凍粥飯,麗采,1,2,105,52.5,52.5
4.71E+12,D50500014,2-11香甜玉米雞肉,冷凍粥飯,麗采,1,2,105,52.5,52.5
4.71E+12,D50600001,2-S1和風豚肉燉飯,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50600002,2-S2綠意什錦豬肉燉飯,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50600003,2-S3白醬魚片燉飯,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50600004,2-S4秋葵茄雞燉飯,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50600005,2-S5香菇雞湯燉飯,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50600006,2-S6羅宋牛肉燉飯,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50600007,2-S7鮭魚鮮燴燉飯,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50600008,2-S8豆豆美人燉飯,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50600009,2-S9蒜香蝦蝦燉飯,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50600010,2-S10五彩鮮魚燉飯,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50600011,S11田園雞肉燉飯,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50600012,2-M3青醬海陸義麵,冷凍粥飯,麗采,1,2,143,71.5,71.5
4.71E+12,D50700001,3-3蔬菜高湯,冷凍粥飯,麗采,1,2,46,23.5,23.5
,D50800001,A01金瓜紅藜鮭魚粥,冷凍粥飯,麗采,1,2,164,82,82
,D50800002,A02元氣蕃茄豬肉粥,冷凍粥飯,麗采,1,2,164,82,82
,D50800003,A03芹耳絲瓜鱸魚粥,冷凍粥飯,麗采,1,2,164,82,82
,D50800004,A04山藥海芽鱸魚粥,冷凍粥飯,麗采,1,2,164,82,82
,D50800005,A05秋葵棉腐雞肉粥,冷凍粥飯,麗采,1,2,164,82,82
,D50800006,A06薑薑好虱目魚粥,冷凍粥飯,麗采,1,2,164,82,82
,D50800007,A07什錦五彩豬肉粥,冷凍粥飯,麗采,1,2,164,82,82
,D50800008,A08羅宋甜麗牛肉粥,冷凍粥飯,麗采,1,2,164,82,82
,D50800009,A09地瓜香蘋蔬食粥,冷凍粥飯,麗采,1,2,164,82,82
,D50800010,A10紫薯洋芋蔬食粥,冷凍粥飯,麗采,1,2,164,82,82
,D50800011,A11棗滋養虱目魚粥,冷凍粥飯,麗采,1,2,164,82,82
,D50800012,A12甜菜香蘋鯛魚粥,冷凍粥飯,麗采,1,2,164,82,82
,D50900001,B01養氣蓮子香菇雞,冷凍粥飯,麗采,1,2,105,52.5,52.5
,D50900002,B02塔香肉燥,冷凍粥飯,麗采,1,2,105,52.5,52.5
,D50900003,B03蕃茄馬鈴薯燉肉,冷凍粥飯,麗采,1,2,105,52.5,52.5
,D50900004,B04哈佛蔬菜燴鮮魚,冷凍粥飯,麗采,1,2,105,52.5,52.5
,D50900005,B05山藥鮮蔬嫰雞,冷凍粥飯,麗采,1,2,105,52.5,52.5
,D51000001,C01懷舊高麗菜燉飯,冷凍粥飯,麗采,1,2,135,67.5,67.5
,D51000002,C02和風鮭魚彩蔬燉飯,冷凍粥飯,麗采,1,2,135,67.5,67.5
,D51000003,C03薑黃野菇蔬食燉飯,冷凍粥飯,麗采,1,2,135,67.5,67.5
,D51000004,C04麻香牛肉燉飯,冷凍粥飯,麗采,1,2,135,67.5,67.5
,D51000005,C05洋蔥鮮豚燉飯,冷凍粥飯,麗采,1,2,135,67.5,67.5
,D51000006,C06蜜薯嫰雞燉飯,冷凍粥飯,麗采,1,2,135,67.5,67.5
4.71E+12,E51010001,2-D01後元彩虹水餃,冷凍粥飯,麗采,1,1,108.8,108.8,108.8
4.71E+12,E51010002,2-D02寶寶後元饅頭,冷凍粥飯,麗采,1,1,116,116,116
4.71E+12,E51010003,2-D03寶寶後元蘿蔔糕,冷凍粥飯,麗采,1,1,121,121,121
4.71E+12,E52010007,寶寶豬肉鬆,冷凍粥飯,麗采,1,1,91.6,91.6,91.6
nan,D50800001,A01金瓜紅藜鮭魚粥,冷凍粥飯,樂齡官網,1,2,219.0,109.5,109.5
nan,D50800002,A02元氣蕃茄豬肉粥,冷凍粥飯,樂齡官網,1,2,219.0,109.5,109.5
nan,D50800003,A03芹耳絲瓜鱸魚粥,冷凍粥飯,樂齡官網,1,2,219.0,109.5,109.5
nan,D50800004,A04山藥海芽鱸魚粥,冷凍粥飯,樂齡官網,1,2,219.0,109.5,109.5
nan,D50800005,A05秋葵棉腐雞肉粥,冷凍粥飯,樂齡官網,1,2,219.0,109.5,109.5
nan,D50800006,A06薑薑好虱目魚粥,冷凍粥飯,樂齡官網,1,2,219.0,109.5,109.5
nan,D50800007,A07什錦五彩豬肉粥,冷凍粥飯,樂齡官網,1,2,219.0,109.5,109.5
nan,D50800008,A08羅宋甜麗牛肉粥,冷凍粥飯,樂齡官網,1,2,219.0,109.5,109.5
nan,D50800009,A09地瓜香蘋蔬食粥,冷凍粥飯,樂齡官網,1,2,219.0,109.5,109.5
nan,D50800010,A10紫薯洋芋蔬食粥,冷凍粥飯,樂齡官網,1,2,219.0,109.5,109.5
nan,D50800011,A11棗滋養虱目魚粥,冷凍粥飯,樂齡官網,1,2,219.0,109.5,109.5
nan,D50800012,A12甜菜香蘋鯛魚粥,冷凍粥飯,樂齡官網,1,2,219.0,109.5,109.5
nan,D50900001,B01養氣蓮子香菇雞,冷凍粥飯,樂齡官網,1,2,140.0,70.0,70.0
nan,D50900002,B02塔香肉燥,冷凍粥飯,樂齡官網,1,2,140.0,70.0,70.0
nan,D50900003,B03蕃茄馬鈴薯燉肉,冷凍粥飯,樂齡官網,1,2,140.0,70.0,70.0
nan,D50900004,B04哈佛蔬菜燴鮮魚,冷凍粥飯,樂齡官網,1,2,140.0,70.0,70.0
nan,D50900005,B05山藥鮮蔬嫰雞,冷凍粥飯,樂齡官網,1,2,140.0,70.0,70.0
nan,D51000001,C01懷舊高麗菜燉飯,冷凍粥飯,樂齡官網,1,2,180.0,90.0,90.0
nan,D51000002,C02和風鮭魚彩蔬燉飯,冷凍粥飯,樂齡官網,1,2,180.0,90.0,90.0
nan,D51000003,C03薑黃野菇蔬食燉飯,冷凍粥飯,樂齡官網,1,2,180.0,90.0,90.0
nan,D51000004,C04麻香牛肉燉飯,冷凍粥飯,樂齡官網,1,2,180.0,90.0,90.0
nan,D51000005,C05洋蔥鮮豚燉飯,冷凍粥飯,樂齡官網,1,2,180.0,90.0,90.0
nan,D51000006,C06蜜薯嫰雞燉飯,冷凍粥飯,樂齡官網,1,2,180.0,90.0,90.0
nan,E52010001,V-01好粥伴-什錦豆漿粥,冷凍粥飯,樂齡官網,1,1,179.0,179.0,179.0
nan,E52010002,V-02好粥伴-野菜菇菇粥,冷凍粥飯,樂齡官網,1,1,179.0,179.0,179.0
nan,E52010003,V-03好粥伴-高麗菜玉米鮮菇粥,冷凍粥飯,樂齡官網,1,1,179.0,179.0,179.0
nan,F30100067,樂齡粥單包試吃體驗組(免運),組合,樂齡官網,1,1,299.0,299.0,299.0
nan,F30100068,人氣體驗組,組合,樂齡官網,1,1,519.0,519.0,519.0
nan,F30100069,全品項燴料5件組 (不含牛),組合,樂齡官網,1,1,669.0,669.0,669.0
nan,F30100070,全品項燉飯6件組 (含牛),組合,樂齡官網,1,1,1029.0,1029.0,1029.0
nan,F30100071,樂齡粥熱銷6件組 (不含牛),組合,樂齡官網,1,1,1249.0,1249.0,1249.0
nan,F30100072,樂齡粥澎派7件組 (不含牛),組合,樂齡官網,1,1,1459.0,1459.0,1459.0
nan,F30100073,粥飯好滿足8件組 (不含牛),組合,樂齡官網,1,1,1499.0,1499.0,1499.0
nan,F30100074,樂齡粥大胃王8件組 (含牛),組合,樂齡官網,1,1,1649.0,1649.0,1649.0
nan,F30100075,捷捷好粥伴-嚐鮮體驗組 (奶素) 首購免運，3款各1盒,組合,樂齡官網,1,1,519.0,519.0,519.0
nan,F30100076,捷捷好粥伴-全家大補給(奶素)，3款各2盒,組合,樂齡官網,1,1,969.0,969.0,969.0
nan,F30100077,捷捷好粥伴-超值優惠組(奶素)，3款各3盒,組合,樂齡官網,1,1,1369.0,1369.0,1369.0
nan,F50100082,樂齡粥人氣體驗3件組,組合,樂齡官網,1,1,519.0,519.0,519.0
nan,F59900001,運費,nan,樂齡官網,nan,1,165.0,165.0,165.0
nan,F59900002,折扣,nan,樂齡官網,nan,1,,,
nan,F59900003,黑貓貨到付款手續費,nan,樂齡官網,nan,1,30.0,30.0,30.0
nan,F50100101,樂齡粥888免運體驗組,組合,樂齡官網,1,1,888.0,888.0,888.0
nan,F50100102,料飯888免運體驗組,組合,樂齡官網,1,1,888.0,888.0,888.0
nan,F50100103,粥料飯888免運體驗組,組合,樂齡官網,1,1,888.0,888.0,888.0
nan,F50100104,捷捷38女王節輕盈限,組合,樂齡官網,1,1,1649.0,1649.0,1649.0
nan,F50100099,捷捷樂齡食品- 樂齡粥大胃王12件組 (含牛),組合,樂齡官網,1,1,2399.0,2399.0,2399.0
nan,F50100100,捷捷樂齡食品- 料飯最享受8件組 (不含牛),組合,樂齡官網,1,1,1199.0,1199.0,1199.0
,D50100001,0-1純米泥,冷凍粥飯,寶寶粥官網,1,4,150,37.5,37.5
,D50100002,0-2南瓜米泥,冷凍粥飯,寶寶粥官網,1,4,150,37.5,37.5
,D50100003,0-3地瓜米泥,冷凍粥飯,寶寶粥官網,1,4,150,37.5,37.5
,D50100004,0-4馬鈴薯米泥,冷凍粥飯,寶寶粥官網,1,4,150,37.5,37.5
,D50100005,0-5紅蘿蔔米泥,冷凍粥飯,寶寶粥官網,1,4,150,37.5,37.5
,D50100006,0-6甜菜根米泥,冷凍粥飯,寶寶粥官網,1,4,150,37.5,37.5
,D50100007,0-7山藥米泥,冷凍粥飯,寶寶粥官網,1,4,150,37.5,37.5
,D50100008,0-8青江菜米泥,冷凍粥飯,寶寶粥官網,1,4,150,37.5,37.5
,D50100009,0-9小松葉米泥,冷凍粥飯,寶寶粥官網,1,4,150,37.5,37.5
,D50100010,0-10青花椰菜米泥,冷凍粥飯,寶寶粥官網,1,4,150,37.5,37.5
,D50100011,0-11高麗菜米泥,冷凍粥飯,寶寶粥官網,1,4,150,37.5,37.5
,D50100012,0-12黑木耳米泥,冷凍粥飯,寶寶粥官網,1,4,150,37.5,37.5
,D50100013,0-13洋蔥米泥,冷凍粥飯,寶寶粥官網,1,4,150,37.5,37.5
,D50100015,0-15蘋果米泥,冷凍粥飯,寶寶粥官網,1,4,150,37.5,37.5
,D50100016,0-16水梨米泥,冷凍粥飯,寶寶粥官網,1,4,150,37.5,37.5
,D50100017,0-17雞肉米泥,冷凍粥飯,寶寶粥官網,1,4,150,37.5,37.5
,D50100018,0-18豬肉米泥,冷凍粥飯,寶寶粥官網,1,4,150,37.5,37.5
,D50100019,0-19鯛魚米泥,冷凍粥飯,寶寶粥官網,1,4,150,37.5,37.5
,D50100020,0-20牛肉米泥,冷凍粥飯,寶寶粥官網,1,4,150,37.5,37.5
,D50100021,0-21絲瓜米泥,冷凍粥飯,寶寶粥官網,1,4,150,37.5,37.5
,D50600001,2-S1和風豚肉燉飯,冷凍粥飯,寶寶粥官網,1,2,190,95,95
,D50600002,2-S2綠意什錦豬肉燉飯,冷凍粥飯,寶寶粥官網,1,2,190,95,95
,D50600003,2-S3白醬魚片燉飯,冷凍粥飯,寶寶粥官網,1,2,190,95,95
,D50600004,2-S4秋葵茄雞燉飯,冷凍粥飯,寶寶粥官網,1,2,190,95,95
,D50600005,2-S5香菇雞湯燉飯,冷凍粥飯,寶寶粥官網,1,2,190,95,95
,D50600006,2-S6羅宋牛肉燉飯,冷凍粥飯,寶寶粥官網,1,2,190,95,95
,D50600007,2-S7鮭魚鮮燴燉飯,冷凍粥飯,寶寶粥官網,1,2,190,95,95
,D50600008,2-S8豆豆美人燉飯,冷凍粥飯,寶寶粥官網,1,2,190,95,95
,D50600009,2-S9蒜香蝦蝦燉飯,冷凍粥飯,寶寶粥官網,1,2,190,95,95
,D50600010,2-S10五彩鮮魚燉飯,冷凍粥飯,寶寶粥官網,1,2,190,95,95
,D50600011,2-S11田園雞肉燉飯,冷凍粥飯,寶寶粥官網,1,2,190,95,95
,D50600012,2-M3青醬海陸義麵,冷凍粥飯,寶寶粥官網,1,2,190,95,95
,D50700001,3-3蔬菜高湯,冷凍粥飯,寶寶粥官網,1,2,60,30,30
,D50700002,寶寶副食品-3-4 蘋果洋蔥水(6M+),冷凍粥飯,寶寶粥官網,1,2,199,99.5,99.5
,D51300001,寶寶年菜-紅到發紫,冷凍粥飯,寶寶粥官網,1,1,409,409,409
,D51300002,寶寶年菜-平安喜樂,冷凍粥飯,寶寶粥官網,1,1,409,409,409
,D51300003,寶寶年菜-瑞氣金黃,冷凍粥飯,寶寶粥官網,1,1,409,409,409
,D51300004,寶寶年菜-魚躍龍門,冷凍粥飯,寶寶粥官網,1,1,409,409,409
,D51300005,寶寶年菜-花開富貴大寶寶粥,冷凍粥飯,寶寶粥官網,1,1,409,409,409
,D51300006,寶寶年菜-佛跳牆,冷凍粥飯,寶寶粥官網,1,1,409,409,409
,D51300007,寶寶年菜-年年有魚,冷凍粥飯,寶寶粥官網,1,1,409,409,409
,D51300008,寶寶年菜-獅子頭,冷凍粥飯,寶寶粥官網,1,1,409,409,409
,D51300009,寶寶年菜-南瓜燉飯,冷凍粥飯,寶寶粥官網,1,1,409,409,409
,D51300010,寶寶年菜-番茄伊比利豬燉飯,冷凍粥飯,寶寶粥官網,1,1,409,409,409
,D50200001,1-01玉米菇菇雞蓉粥,冷凍粥飯,寶寶粥官網,1,2,130,65,65
,D50200002,1-02雙瓜豬肉粥,冷凍粥飯,寶寶粥官網,1,2,130,65,65
,D50200003,1-03紅蔔甜椒雞蓉粥,冷凍粥飯,寶寶粥官網,1,2,130,65,65
,D50200004,1-04青翠白花豬豬粥,冷凍粥飯,寶寶粥官網,1,2,130,65,65
,D50200005,1-05番茄野菇雞蓉粥,冷凍粥飯,寶寶粥官網,1,2,130,65,65
,D50200006,1-06秋葵白菜牛肉粥,冷凍粥飯,寶寶粥官網,1,2,130,65,65
,D50200007,1-07紫心豬豬粥,冷凍粥飯,寶寶粥官網,1,2,130,65,65
,D50200008,1-08木耳海藻魚片粥,冷凍粥飯,寶寶粥官網,1,2,130,65,65
,D50200009,1-09清甜美人粥,冷凍粥飯,寶寶粥官網,1,2,130,65,65
,D50200010,1-10枸杞紅棗山藥粥,冷凍粥飯,寶寶粥官網,1,2,130,65,65
,D50200011,1-11蔬菜鮭魚粥,冷凍粥飯,寶寶粥官網,1,2,130,65,65
,D50800001,A01金瓜紅藜鮭魚粥,冷凍粥飯,寶寶粥官網,1,2,219,109.5,109.5
,D50800002,A02元氣蕃茄豬肉粥,冷凍粥飯,寶寶粥官網,1,2,219,109.5,109.5
,D50800003,A03芹耳絲瓜鱸魚粥,冷凍粥飯,寶寶粥官網,1,2,219,109.5,109.5
,D50800004,A04山藥海芽鱸魚粥,冷凍粥飯,寶寶粥官網,1,2,219,109.5,109.5
,D50800005,A05秋葵棉腐雞肉粥,冷凍粥飯,寶寶粥官網,1,2,219,109.5,109.5
,D50800006,A06薑薑好虱目魚粥,冷凍粥飯,寶寶粥官網,1,2,219,109.5,109.5
,D50800007,A07什錦五彩豬肉粥,冷凍粥飯,寶寶粥官網,1,2,219,109.5,109.5
,D50800008,A08羅宋甜麗牛肉粥,冷凍粥飯,寶寶粥官網,1,2,219,109.5,109.5
,D50800009,A09地瓜香蘋蔬食粥,冷凍粥飯,寶寶粥官網,1,2,219,109.5,109.5
,D50800010,A10紫薯洋芋蔬食粥,冷凍粥飯,寶寶粥官網,1,2,219,109.5,109.5
,D50800011,A11棗滋養虱目魚粥,冷凍粥飯,寶寶粥官網,1,2,219,109.5,109.5
,D50800012,A12甜菜香蘋鯛魚粥,冷凍粥飯,寶寶粥官網,1,2,219,109.5,109.5
,D50300001,1P-01金黃根莖雞蓉大寶寶粥150g,冷凍粥飯,寶寶粥官網,1,2,160,80,80
,D50300002,1P-02高麗野蔬雞蓉大寶寶粥150g,冷凍粥飯,寶寶粥官網,1,2,160,80,80
,D50300003,1P-03豚未香菇豆腐大寶寶粥150g,冷凍粥飯,寶寶粥官網,1,2,160,80,80
,D50300004,1P-04蔬菜鮭魚大寶寶粥150g,冷凍粥飯,寶寶粥官網,1,2,160,80,80
,D50300005,1P-05元氣牛肉大寶寶粥150g,冷凍粥飯,寶寶粥官網,1,2,160,80,80
,D50300006,1P-06絲瓜鱸魚大寶寶粥150g,冷凍粥飯,寶寶粥官網,1,2,160,80,80
,D50300007,1P-07百蔬蛋黃大寶寶粥150g,冷凍粥飯,寶寶粥官網,1,2,160,80,80
